"AGE","GENDER","MARITAL","INCOME","CHILDREN","HISTORY","CATALOGS","AMOUNT"
"Middle","Male","Married",77700,0,"None",6,983
"Young","Male","Married",58900,0,"None",18,1215
"Middle","Male","Married",126500,2,"High",18,2000
"Middle","Female","Married",83300,1,"High",24,2574
"Middle","Female","Married",90500,1,"High",6,1116
"Middle","Female","Married",87200,0,"High",18,3604
"Middle","Female","Married",105300,1,"None",24,3360
"Middle","Female","Single",56000,3,"Medium",6,530
"Middle","Female","Single",46600,0,"Medium",24,906
"Old","Male","Married",69800,0,"High",24,2764
"Middle","Male","Single",60300,0,"High",24,1263
"Young","Male","Married",67800,0,"High",12,1084
"Middle","Male","Single",42300,0,"Medium",24,1051
"Young","Female","Married",33700,0,"None",6,614
"Middle","Male","Single",62700,2,"Medium",12,704
"Young","Female","Single",25900,2,"None",12,449
"Young","Female","Single",15600,1,"Low",6,136
"Old","Female","Single",14600,0,"Low",24,468
"Old","Female","Married",62600,0,"High",6,565
"Young","Male","Married",66700,0,"None",18,1310
"Middle","Male","Married",72500,0,"None",24,2595
"Young","Female","Single",13200,0,"None",24,358
"Middle","Female","Single",51300,0,"Medium",24,1424
"Middle","Male","Single",72300,0,"High",24,4182
"Young","Female","Single",15600,0,"None",12,468
"Middle","Female","Married",90400,1,"High",18,2924
"Middle","Male","Single",71500,0,"None",6,964
"Young","Male","Single",14400,0,"None",24,615
"Young","Male","Single",15000,3,"Low",6,38
"Middle","Male","Single",57600,1,"None",6,1006
"Young","Female","Married",60600,3,"Low",12,307
"Middle","Male","Married",84300,2,"High",18,1648
"Young","Female","Single",24400,1,"Low",6,220
"Young","Female","Single",22100,2,"Low",18,280
"Middle","Male","Married",48800,2,"None",12,1647
"Middle","Female","Married",74700,1,"Medium",6,704
"Young","Female","Single",32400,1,"Medium",24,920
"Old","Female","Single",11400,0,"None",6,258
"Middle","Male","Married",127000,0,"None",12,1821
"Middle","Male","Single",47200,0,"Medium",18,1587
"Middle","Female","Single",48700,2,"Low",12,528
"Young","Male","Single",20400,0,"Medium",18,867
"Middle","Male","Single",39000,0,"None",6,643
"Young","Female","Single",12900,1,"Low",6,107
"Middle","Female","Married",67300,1,"High",18,1513
"Old","Male","Married",134500,0,"High",24,4558
"Old","Male","Married",75500,0,"High",6,741
"Old","Female","Married",33600,2,"Medium",12,805
"Young","Female","Single",16300,1,"None",12,470
"Young","Male","Married",27400,1,"Low",6,278
"Middle","Female","Married",110400,3,"Low",24,1093
"Young","Female","Single",21100,1,"Low",6,470
"Middle","Male","Married",81200,0,"High",24,1856
"Middle","Male","Married",87100,2,"High",18,1688
"Young","Female","Single",21700,3,"None",24,708
"Middle","Female","Single",42200,0,"None",18,1753
"Middle","Male","Single",59000,0,"High",24,3044
"Middle","Female","Single",52700,2,"Low",18,855
"Young","Male","Single",20900,0,"Low",24,550
"Middle","Male","Married",90700,3,"High",24,2265
"Old","Female","Married",91800,0,"None",24,2452
"Young","Female","Single",27900,0,"Medium",18,1184
"Old","Female","Married",70700,0,"High",24,2150
"Middle","Male","Married",79600,2,"None",6,1575
"Middle","Male","Married",96400,1,"High",24,1822
"Middle","Female","Single",46600,2,"None",18,1153
"Old","Male","Married",106600,0,"High",12,1877
"Middle","Female","Married",104900,3,"Low",6,450
"Old","Male","Single",56300,0,"Medium",6,873
"Young","Female","Single",14800,1,"Low",6,209
"Old","Male","Married",58300,0,"Medium",24,1472
"Middle","Male","Single",70200,0,"High",12,1702
"Old","Male","Married",59700,0,"High",18,1857
"Young","Male","Single",25800,0,"None",6,451
"Young","Female","Single",12000,0,"Low",24,344
"Middle","Male","Single",51900,0,"High",18,1492
"Middle","Female","Single",66800,3,"None",24,2098
"Middle","Male","Married",105300,1,"None",18,3505
"Young","Female","Single",13800,3,"Low",6,127
"Young","Male","Single",14800,3,"None",12,436
"Middle","Female","Married",44200,0,"High",24,2524
"Young","Male","Single",10400,0,"None",18,189
"Middle","Female","Single",35200,0,"Medium",12,607
"Young","Female","Single",16100,0,"None",6,202
"Middle","Male","Married",113000,2,"Medium",18,1554
"Middle","Male","Married",63300,2,"None",6,633
"Young","Male","Single",19100,0,"None",6,176
"Middle","Female","Married",93400,2,"None",24,3079
"Old","Female","Married",52500,0,"High",24,2038
"Middle","Female","Married",45400,3,"Medium",24,1203
"Young","Female","Single",21400,3,"None",6,326
"Middle","Female","Single",53700,3,"Low",12,235
"Young","Female","Married",68000,0,"High",24,3688
"Young","Male","Single",17400,0,"None",12,332
"Young","Female","Single",14600,1,"Low",6,143
"Old","Female","Married",100100,0,"High",12,3104
"Middle","Male","Married",103700,1,"High",24,2339
"Young","Female","Single",10800,3,"Low",6,123
"Middle","Female","Married",81700,3,"Low",24,879
"Old","Female","Single",21400,0,"Low",18,498
"Old","Female","Married",114800,0,"High",18,3596
"Old","Female","Married",67900,0,"High",24,2925
"Middle","Male","Married",53700,1,"None",12,1081
"Young","Female","Single",11400,3,"None",12,312
"Young","Male","Married",34300,3,"None",12,1297
"Young","Female","Single",16400,1,"Low",12,218
"Middle","Female","Married",109800,0,"High",18,4279
"Middle","Male","Single",64200,0,"High",18,1642
"Young","Male","Single",17000,0,"None",18,581
"Middle","Female","Single",41400,3,"Low",6,223
"Middle","Female","Single",49100,2,"Low",6,474
"Old","Female","Single",42600,0,"High",24,1790
"Young","Female","Single",11900,1,"Low",6,143
"Middle","Male","Married",113600,2,"High",18,3237
"Middle","Male","Single",52900,1,"None",24,2316
"Young","Female","Single",14300,1,"None",18,458
"Young","Male","Single",21000,0,"Low",24,646
"Middle","Male","Single",59600,2,"Medium",18,1217
"Middle","Female","Single",39700,3,"Low",12,238
"Old","Male","Married",51200,0,"Medium",12,1293
"Middle","Female","Married",88200,0,"None",24,2749
"Middle","Male","Married",122100,0,"High",12,2408
"Old","Female","Married",84800,0,"High",18,2624
"Middle","Male","Married",140000,0,"High",12,4894
"Old","Female","Single",28500,0,"Low",24,621
"Middle","Male","Single",60300,0,"High",6,701
"Young","Female","Married",51900,0,"None",6,780
"Middle","Male","Single",60200,0,"Medium",12,1365
"Middle","Male","Married",81200,0,"High",12,2693
"Old","Male","Married",73100,0,"High",6,1582
"Old","Male","Single",45700,0,"Medium",18,724
"Old","Female","Single",28900,0,"Low",12,830
"Young","Female","Married",60100,0,"None",18,1594
"Middle","Female","Married",84800,1,"None",12,1826
"Old","Female","Married",35000,0,"Medium",6,473
"Young","Female","Married",61700,0,"None",12,1161
"Old","Female","Married",46900,0,"Medium",6,703
"Middle","Female","Married",123600,1,"None",12,1892
"Young","Male","Married",45800,0,"Medium",6,489
"Middle","Male","Married",77800,1,"High",18,1813
"Middle","Female","Single",48700,1,"None",12,1457
"Middle","Female","Single",39000,3,"Low",6,292
"Young","Female","Married",40000,0,"None",6,613
"Middle","Female","Married",118300,1,"None",18,2681
"Young","Female","Single",27100,2,"Low",24,437
"Middle","Female","Married",91000,2,"Medium",6,708
"Middle","Female","Married",35300,0,"Medium",24,1093
"Young","Female","Single",10200,2,"Low",18,213
"Young","Female","Single",12500,1,"Low",6,202
"Old","Female","Single",64600,0,"None",6,1298
"Middle","Male","Married",113800,0,"None",12,3273
"Middle","Male","Married",113400,3,"High",18,1790
"Young","Female","Single",16900,1,"Low",6,247
"Young","Female","Single",13600,1,"Low",6,183
"Middle","Male","Married",100100,1,"High",24,3491
"Old","Female","Married",80000,0,"High",6,1985
"Middle","Male","Married",83900,0,"High",24,1721
"Middle","Male","Married",77000,0,"High",12,2104
"Middle","Female","Married",72900,3,"Low",6,252
"Young","Male","Married",80700,3,"Low",6,202
"Young","Female","Married",40900,1,"Medium",18,962
"Young","Female","Single",26700,1,"None",12,459
"Middle","Male","Married",54700,0,"Medium",18,848
"Old","Female","Married",23600,1,"Low",6,161
"Middle","Male","Single",56900,0,"High",24,1857
"Middle","Male","Single",68700,1,"None",24,1699
"Young","Female","Single",19300,1,"Low",24,308
"Young","Male","Married",20200,1,"Low",24,500
"Middle","Female","Married",61500,3,"Medium",24,1162
"Middle","Female","Married",101700,1,"None",24,2551
"Middle","Female","Married",120800,1,"High",24,5830
"Young","Female","Single",17300,1,"Low",18,381
"Young","Female","Married",42300,0,"None",6,856
"Middle","Male","Single",53300,0,"Medium",18,1720
"Middle","Female","Single",42800,0,"Medium",12,759
"Middle","Male","Married",98400,0,"High",18,3305
"Middle","Female","Single",51200,0,"Medium",18,1257
"Old","Male","Single",62200,0,"None",12,1583
"Middle","Male","Married",109200,3,"Low",24,1102
"Young","Female","Single",11400,2,"None",6,186
"Young","Female","Single",14000,0,"Low",12,229
"Old","Female","Married",97000,0,"None",24,2599
"Young","Female","Single",29600,3,"None",12,774
"Old","Male","Married",71200,1,"Medium",12,638
"Old","Female","Single",15000,0,"Low",12,378
"Middle","Male","Married",64000,1,"None",6,1552
"Old","Male","Married",33000,0,"Medium",12,979
"Old","Female","Married",74400,0,"High",18,2479
"Young","Male","Single",20300,2,"Low",24,450
"Middle","Male","Married",68700,0,"High",24,2763
"Young","Male","Married",53600,3,"Medium",24,1560
"Old","Female","Single",33200,0,"Medium",24,1037
"Young","Female","Married",70900,0,"None",6,690
"Young","Female","Single",23200,3,"None",24,770
"Young","Male","Single",41400,0,"Medium",18,643
"Young","Female","Married",63200,0,"High",24,1512
"Old","Male","Married",107400,0,"High",12,1485
"Young","Male","Single",13900,0,"None",24,570
"Middle","Female","Married",79900,1,"Medium",18,1165
"Middle","Male","Married",120000,3,"High",18,1926
"Old","Male","Married",66300,0,"None",18,2243
"Middle","Female","Single",54400,3,"Low",18,342
"Middle","Male","Married",84200,0,"High",24,1654
"Young","Female","Married",13800,0,"Low",18,363
"Young","Female","Single",14500,1,"Low",6,222
"Young","Male","Single",21300,0,"Low",24,677
"Old","Male","Single",29000,0,"Low",6,482
"Old","Female","Single",14600,1,"Low",24,385
"Old","Male","Single",65300,0,"High",18,1443
"Middle","Female","Married",100800,1,"High",24,1789
"Young","Female","Single",19800,1,"Low",24,991
"Middle","Male","Single",56700,2,"Low",18,536
"Old","Male","Married",90200,0,"High",18,2183
"Young","Male","Single",26100,1,"None",6,494
"Young","Female","Single",15900,0,"Low",18,503
"Young","Female","Single",12700,3,"Low",12,87
"Middle","Male","Single",43200,0,"None",24,917
"Middle","Female","Married",114100,1,"None",24,1976
"Middle","Male","Married",96100,3,"Low",12,316
"Middle","Male","Married",97200,0,"None",12,1634
"Middle","Male","Married",82400,2,"High",24,2035
"Old","Male","Single",62000,0,"High",24,3293
"Young","Female","Single",13400,1,"Low",12,143
"Middle","Male","Married",108200,3,"Low",12,635
"Young","Female","Married",76200,0,"High",12,979
"Middle","Male","Married",81800,1,"High",18,1838
"Young","Female","Single",12000,0,"Low",6,264
"Middle","Male","Married",76100,0,"None",6,719
"Middle","Male","Married",82100,1,"High",18,1308
"Old","Female","Married",103300,0,"High",24,3378
"Young","Male","Single",14200,1,"None",24,400
"Middle","Female","Single",47500,0,"High",6,847
"Young","Female","Single",31300,1,"Low",6,357
"Young","Female","Married",32700,1,"None",18,1276
"Middle","Male","Married",72200,0,"High",24,2492
"Middle","Female","Married",107600,2,"Medium",12,1512
"Middle","Male","Married",109900,2,"Medium",12,870
"Middle","Female","Married",65400,2,"Medium",24,938
"Old","Female","Single",43300,0,"None",12,1584
"Old","Female","Single",51900,0,"Medium",12,1148
"Middle","Female","Married",80600,0,"High",24,2840
"Middle","Female","Single",42700,0,"Medium",12,827
"Young","Male","Single",19000,0,"None",12,428
"Young","Female","Single",14500,1,"Low",6,183
"Middle","Female","Married",68200,1,"None",6,818
"Young","Male","Married",36700,0,"Medium",12,731
"Old","Male","Married",54600,0,"High",24,2163
"Middle","Male","Married",65900,1,"Medium",12,1081
"Young","Male","Single",39600,0,"None",12,1085
"Young","Male","Married",67300,3,"None",6,1212
"Middle","Male","Single",59700,1,"None",18,1422
"Middle","Female","Married",102800,2,"High",18,2238
"Middle","Female","Single",34700,0,"None",18,1615
"Middle","Male","Single",50600,3,"None",6,713
"Middle","Male","Married",106700,2,"Medium",6,607
"Middle","Male","Single",53900,1,"Medium",6,735
"Young","Female","Married",25500,2,"Low",6,139
"Young","Male","Married",46300,1,"Medium",18,1357
"Old","Male","Married",55500,0,"Medium",18,858
"Young","Female","Single",27800,3,"None",12,408
"Middle","Male","Married",118600,1,"None",12,1553
"Middle","Female","Married",130700,3,"None",6,2070
"Old","Male","Single",42800,0,"Medium",12,922
"Middle","Female","Married",118300,1,"High",12,2502
"Young","Female","Single",25600,2,"None",18,426
"Middle","Male","Married",63500,2,"None",24,2321
"Old","Female","Single",30900,0,"Medium",18,862
"Middle","Male","Single",55900,1,"None",24,2555
"Middle","Male","Single",53900,0,"None",12,1186
"Old","Male","Married",84300,0,"High",24,2842
"Old","Male","Single",53400,1,"Medium",12,886
"Middle","Male","Married",96900,1,"High",12,1420
"Middle","Male","Single",55800,1,"None",6,821
"Young","Female","Married",25900,1,"Low",6,242
"Young","Female","Single",22000,1,"Low",12,472
"Middle","Female","Married",96700,2,"Medium",12,1231
"Middle","Female","Single",40200,1,"None",12,881
"Old","Male","Married",26800,0,"Low",12,435
"Young","Female","Single",16700,2,"Low",12,108
"Young","Female","Married",40900,2,"Low",18,576
"Young","Male","Married",41500,3,"None",24,1314
"Young","Male","Single",20900,0,"None",6,296
"Young","Female","Married",69700,2,"Medium",6,584
"Middle","Male","Single",61800,0,"High",24,1156
"Middle","Male","Married",102500,1,"High",24,2464
"Middle","Female","Married",48900,3,"None",18,915
"Middle","Male","Single",60300,0,"None",24,2091
"Young","Male","Married",41600,0,"High",24,1690
"Middle","Male","Single",73700,1,"Medium",12,1274
"Young","Female","Single",27000,1,"None",24,1012
"Middle","Female","Single",43700,0,"Medium",12,950
"Young","Male","Single",10200,2,"None",12,333
"Middle","Female","Married",63300,2,"Medium",24,679
"Young","Female","Single",33200,2,"Medium",12,607
"Old","Female","Married",78800,0,"High",18,3398
"Middle","Male","Married",82500,0,"High",6,859
"Middle","Male","Single",80800,2,"High",18,2444
"Middle","Male","Married",88100,2,"Medium",24,1078
"Middle","Male","Married",124800,3,"High",18,2537
"Young","Male","Single",31900,0,"Medium",6,616
"Middle","Female","Single",53300,3,"None",6,508
"Old","Male","Married",15400,0,"Low",6,297
"Middle","Male","Married",70200,0,"None",6,1583
"Young","Female","Single",23000,3,"Low",6,79
"Middle","Female","Married",82400,2,"Medium",18,657
"Middle","Female","Married",97900,0,"High",24,2149
"Old","Female","Married",88400,0,"High",18,3632
"Middle","Female","Married",86900,0,"High",18,2230
"Middle","Female","Single",45100,1,"Medium",12,448
"Middle","Male","Single",41800,3,"Low",24,301
"Old","Male","Married",74800,0,"High",18,1968
"Middle","Female","Married",73000,1,"Medium",6,490
"Middle","Male","Married",118500,1,"High",24,3063
"Middle","Male","Single",65300,3,"Low",6,193
"Middle","Female","Married",66300,2,"Medium",12,544
"Middle","Male","Married",103900,1,"High",24,2666
"Middle","Female","Married",71900,0,"High",18,1846
"Middle","Male","Married",86100,1,"None",12,1255
"Middle","Male","Married",96300,1,"High",12,1081
"Young","Female","Single",10200,3,"None",6,199
"Middle","Male","Married",96300,2,"None",18,3916
"Old","Female","Single",24000,1,"Low",6,357
"Middle","Female","Married",46700,0,"Medium",24,983
"Middle","Female","Single",53700,2,"None",12,1194
"Middle","Male","Married",108300,2,"None",12,2224
"Young","Female","Single",12100,1,"Low",6,90
"Young","Male","Married",36600,0,"None",6,587
"Old","Male","Married",66300,0,"High",12,1088
"Young","Female","Single",33400,1,"None",6,617
"Middle","Male","Married",70000,1,"None",6,1227
"Middle","Female","Single",47900,1,"Medium",24,662
"Middle","Female","Married",40500,2,"Low",18,622
"Old","Male","Single",69100,0,"High",12,1477
"Young","Female","Single",13300,1,"None",6,236
"Middle","Female","Married",75800,1,"High",12,1830
"Middle","Female","Married",48600,0,"Medium",24,1583
"Old","Female","Single",39600,0,"Medium",12,610
"Young","Female","Single",11700,0,"Low",12,193
"Young","Male","Married",52600,1,"Medium",12,1052
"Young","Male","Single",14600,3,"None",6,307
"Old","Male","Married",123000,0,"High",24,3671
"Old","Female","Married",64600,0,"High",18,2206
"Middle","Female","Single",34600,2,"Medium",18,748
"Middle","Male","Married",74500,0,"High",6,1481
"Old","Male","Married",56600,0,"None",24,1607
"Old","Female","Single",37000,1,"None",6,632
"Young","Female","Single",18400,1,"Low",6,303
"Young","Male","Single",25000,0,"Low",6,264
"Middle","Male","Married",61400,1,"High",24,1575
"Middle","Male","Married",76400,2,"Medium",18,881
"Young","Male","Married",55100,0,"Medium",18,1439
"Old","Female","Married",22800,0,"None",12,452
"Old","Female","Married",10100,1,"Low",6,93
"Young","Male","Single",17800,0,"Low",18,292
"Middle","Female","Married",59100,1,"None",6,1426
"Young","Female","Single",19700,2,"Low",6,330
"Middle","Male","Married",73800,0,"High",24,3120
"Middle","Male","Married",113300,1,"High",18,5151
"Middle","Male","Married",118400,2,"None",12,3941
"Middle","Male","Married",92300,1,"None",24,2141
"Young","Male","Single",11200,0,"None",6,106
"Young","Female","Married",30100,0,"Medium",12,530
"Middle","Female","Single",43500,1,"Medium",12,500
"Middle","Male","Married",97500,0,"High",18,2837
"Old","Male","Married",54600,0,"Medium",24,1246
"Middle","Male","Single",42500,1,"None",6,798
"Middle","Male","Single",82800,0,"None",6,1544
"Old","Male","Married",62300,0,"High",24,2644
"Young","Male","Single",21900,2,"None",6,192
"Middle","Female","Single",35600,3,"Low",18,865
"Middle","Male","Married",96900,0,"High",6,1159
"Young","Female","Married",36900,1,"None",18,1480
"Middle","Female","Married",93500,1,"High",18,1426
"Middle","Male","Married",97300,1,"None",12,3048
"Young","Male","Single",21900,0,"Low",12,276
"Middle","Male","Single",63000,0,"High",24,1910
"Young","Female","Single",11500,3,"None",6,157
"Middle","Male","Single",44600,2,"Low",6,236
"Young","Female","Single",21900,1,"None",12,576
"Middle","Male","Single",45100,1,"Medium",12,794
"Old","Female","Married",74900,0,"High",12,1474
"Young","Male","Single",14200,0,"Low",6,250
"Young","Female","Single",23200,2,"None",24,788
"Old","Male","Married",73300,0,"None",12,1694
"Old","Male","Married",41300,0,"High",24,1985
"Old","Female","Single",32700,0,"Medium",24,1252
"Old","Female","Single",35200,0,"None",12,827
"Young","Female","Single",13100,0,"None",18,314
"Middle","Male","Married",97400,1,"High",6,880
"Young","Female","Single",23100,2,"Low",6,466
"Middle","Male","Single",49200,3,"Low",12,210
"Middle","Male","Single",45000,1,"None",18,902
"Middle","Male","Married",87200,0,"High",18,1274
"Middle","Male","Single",49900,1,"None",24,1631
"Middle","Male","Married",66900,0,"High",12,1220
"Middle","Female","Single",47600,1,"Medium",12,801
"Middle","Female","Single",47900,0,"None",12,1090
"Middle","Male","Single",59400,0,"Medium",18,1699
"Middle","Female","Single",32700,2,"Low",6,273
"Middle","Male","Single",34200,1,"Low",18,523
"Middle","Male","Married",96600,0,"None",12,1437
"Middle","Female","Married",126300,1,"High",6,1888
"Young","Male","Single",31600,1,"None",12,476
"Middle","Female","Married",108100,3,"High",18,2632
"Middle","Female","Single",43300,3,"Low",24,326
"Old","Female","Single",17900,0,"Low",6,446
"Middle","Male","Single",50100,1,"High",18,1071
"Old","Female","Married",74700,0,"High",12,1699
"Old","Male","Married",60000,0,"Medium",6,966
"Young","Male","Single",33400,0,"None",12,567
"Middle","Female","Married",68800,0,"None",6,1658
"Middle","Female","Single",25700,2,"Low",6,173
"Middle","Male","Married",83700,0,"High",24,3344
"Middle","Male","Single",50500,0,"Medium",12,1029
"Young","Female","Single",17300,0,"Low",12,345
"Middle","Male","Single",45800,0,"None",6,712
"Old","Male","Married",108900,0,"High",12,1841
"Middle","Female","Married",60500,2,"Low",6,409
"Old","Female","Married",84100,0,"High",18,2710
"Young","Male","Married",25100,0,"Medium",12,592
"Middle","Male","Married",69900,1,"None",18,2101
"Middle","Male","Married",97100,0,"None",12,1473
"Middle","Female","Married",72200,2,"Medium",18,715
"Old","Female","Married",78900,0,"High",18,2233
"Middle","Female","Single",62500,3,"None",6,921
"Young","Female","Single",17800,1,"Low",6,216
"Middle","Female","Married",105500,1,"High",6,1781
"Middle","Female","Single",46100,2,"Low",12,418
"Young","Male","Single",27100,1,"Low",12,268
"Young","Male","Married",60300,1,"None",6,1252
"Young","Female","Single",12000,0,"Low",6,140
"Middle","Female","Single",48400,0,"Medium",12,992
"Middle","Male","Single",45600,0,"Medium",18,1388
"Middle","Female","Single",35200,2,"Low",6,233
"Middle","Male","Single",60200,0,"High",24,2304
"Middle","Female","Married",53900,1,"High",18,2177
"Middle","Male","Married",70400,2,"None",12,1127
"Young","Male","Married",36900,0,"Medium",18,721
"Old","Female","Single",36100,0,"Medium",12,438
"Young","Female","Single",11000,2,"None",18,393
"Middle","Male","Single",61600,0,"None",18,1666
"Middle","Male","Married",88700,1,"None",18,2448
"Middle","Female","Married",88600,1,"High",18,2563
"Middle","Male","Married",79500,0,"High",18,1763
"Young","Female","Single",18900,1,"Low",6,184
"Old","Female","Single",17300,0,"Low",6,166
"Middle","Female","Married",81400,2,"None",6,1014
"Young","Male","Married",36500,0,"Medium",24,1140
"Middle","Female","Single",43300,1,"None",18,1021
"Middle","Male","Married",76700,1,"Medium",24,1431
"Middle","Male","Married",123000,1,"High",24,5878
"Middle","Male","Single",56300,3,"Low",6,321
"Middle","Male","Married",70000,0,"High",24,1974
"Middle","Male","Single",48100,0,"Medium",18,1640
"Young","Female","Married",79400,0,"None",6,1175
"Middle","Female","Married",63700,3,"Low",12,364
"Young","Male","Single",21200,0,"None",12,417
"Middle","Male","Single",53900,0,"Medium",12,1060
"Old","Female","Married",118800,0,"High",18,2176
"Middle","Female","Married",79400,3,"Low",6,200
"Old","Female","Single",20400,0,"None",24,513
"Middle","Male","Single",52400,0,"None",18,857
"Old","Female","Single",17600,0,"Low",6,224
"Young","Male","Single",23500,0,"Low",12,371
"Young","Male","Married",56900,2,"Low",12,687
"Middle","Male","Married",95100,2,"Medium",12,809
"Middle","Male","Married",119800,2,"Medium",24,2090
"Old","Male","Single",58700,0,"None",24,1479
"Middle","Female","Married",76700,2,"Medium",6,534
"Middle","Male","Married",67600,1,"Medium",18,1172
"Middle","Male","Single",61500,2,"Medium",24,968
"Old","Female","Married",72900,0,"High",6,753
"Old","Female","Single",21200,0,"Low",6,242
"Old","Male","Single",32400,1,"Low",12,515
"Middle","Female","Married",62200,3,"None",24,2119
"Old","Female","Single",24400,0,"Low",6,491
"Middle","Male","Married",66500,3,"Low",12,286
"Old","Female","Married",72200,0,"High",24,3069
"Young","Female","Single",16900,2,"None",6,281
"Young","Male","Married",56300,0,"None",24,1608
"Old","Female","Single",22000,0,"Medium",12,736
"Young","Female","Single",18800,2,"Low",18,170
"Young","Female","Single",26600,2,"Low",24,245
"Middle","Female","Married",72100,0,"High",24,3052
"Middle","Male","Single",55600,0,"High",18,1786
"Young","Female","Single",14600,3,"Low",6,47
"Old","Male","Married",45900,0,"Medium",24,1645
"Young","Female","Single",15100,0,"Low",6,274
"Middle","Male","Married",90300,0,"High",24,1944
"Old","Male","Married",95900,0,"High",24,2585
"Young","Male","Single",20800,0,"None",6,260
"Middle","Male","Married",98400,0,"High",12,1414
"Young","Female","Single",15000,2,"None",12,341
"Young","Male","Single",17700,1,"Low",12,268
"Middle","Male","Married",102400,1,"High",18,1237
"Young","Male","Single",17800,1,"None",18,589
"Young","Male","Single",13800,1,"Low",12,368
"Middle","Female","Single",50500,1,"Medium",12,940
"Middle","Female","Single",42000,3,"Low",18,232
"Middle","Male","Married",95800,3,"Low",12,678
"Young","Male","Single",15200,0,"None",12,324
"Young","Male","Single",15800,2,"Low",12,147
"Old","Male","Single",51400,0,"None",6,694
"Old","Female","Married",38200,0,"Medium",6,526
"Middle","Female","Single",39900,1,"Low",12,586
"Young","Female","Single",21600,2,"None",12,491
"Old","Female","Married",65900,0,"High",24,1436
"Middle","Female","Married",97500,1,"High",12,1280
"Middle","Male","Married",63000,0,"High",18,2107
"Young","Female","Single",31900,0,"None",12,860
"Middle","Female","Single",45500,1,"None",18,1624
"Old","Female","Single",12800,0,"None",12,230
"Old","Female","Married",12600,2,"Low",12,164
"Middle","Male","Single",50700,3,"Low",6,157
"Young","Female","Single",17900,3,"Low",6,62
"Young","Female","Single",14400,1,"Low",18,223
"Old","Female","Single",23800,0,"Low",6,438
"Middle","Male","Married",84700,3,"None",24,2705
"Middle","Female","Single",36900,1,"Low",6,371
"Old","Female","Single",20600,0,"Low",6,201
"Young","Male","Married",41500,0,"None",24,1213
"Middle","Male","Married",83100,2,"Medium",6,586
"Middle","Male","Married",88700,2,"High",24,2693
"Old","Female","Married",54700,0,"Medium",24,1404
"Middle","Male","Single",68900,2,"None",18,2784
"Young","Female","Single",22200,2,"Low",18,275
"Middle","Female","Married",70900,1,"Medium",12,794
"Middle","Male","Single",55900,0,"Medium",12,964
"Middle","Female","Married",80800,1,"None",18,1598
"Middle","Male","Married",100600,3,"High",24,2838
"Old","Female","Single",39900,0,"None",6,619
"Young","Female","Married",71200,3,"Low",12,392
"Old","Female","Married",61000,0,"None",18,1850
"Old","Male","Single",38700,0,"None",24,1506
"Middle","Male","Married",98900,0,"None",18,3126
"Middle","Male","Single",64300,0,"None",6,1325
"Middle","Female","Married",75600,0,"None",12,1541
"Young","Female","Married",53700,0,"High",24,2491
"Middle","Male","Single",66600,0,"High",18,1177
"Old","Female","Married",89000,0,"High",12,1487
"Young","Female","Single",18200,2,"Low",12,322
"Young","Female","Married",73600,1,"Medium",6,647
